Player,Position,seasons,Actual,Predicted,Deviation,avg_pct_dev
Toti Gomes,D,2,€4.9M,€1.9M,+156%,155.5647640215534
Joachim Andersen,D,5,€4.6M,€2.1M,+122%,121.97074659037669
Nelson Semedo,D,4,€4.8M,€2.2M,+122%,121.78314834007102
Jan Bednarek,D,3,€3.8M,€2.0M,+98%,98.3933575654405
Lucas Digne,D,4,€6.9M,€3.8M,+82%,81.89260769024305
Harry Maguire,D,2,€11.5M,€6.8M,+70%,69.721274781185
Joško Gvardiol,D,2,€12.2M,€7.3M,+67%,67.29643687803468
Manuel Akanji,D,2,€10.9M,€6.8M,+64%,64.22668436320994
Marc Guéhi,D,3,€3.0M,€1.9M,+61%,61.46684122799889
Marcos Senesi,D,2,€3.0M,€1.9M,+60%,60.24692597615588
Murillo,D,2,€3.2M,€1.9M,+59%,59.3905906282704
Cristian Romero,D,2,€10.0M,€6.5M,+58%,57.56297877866593
Virgil van Dijk,D,4,€15.3M,€9.7M,+57%,57.199722019836685
Calvin Bassey,D,2,€2.7M,€1.8M,+55%,54.53304228360536
Ruben Dias,D,4,€9.6M,€6.4M,+48%,47.889785483636416
Matty Cash,D,2,€4.4M,€3.0M,+46%,46.18696589074118
William Saliba,D,3,€8.5M,€5.7M,+43%,42.55259783517528
Timothy Castagne,D,3,€3.9M,€2.9M,+40%,40.12757729819009
Tyrone Mings,D,3,€5.2M,€3.8M,+37%,37.09961699013885
Victor Lindelof,D,2,€7.3M,€5.4M,+35%,35.07321792809112
Conor Coady,D,2,€3.3M,€2.5M,+33%,33.09477123654328
Ilya Zabarnyi,D,2,€2.3M,€1.7M,+33%,32.958890580141144
Tyrick Mitchell,D,4,€2.4M,€1.9M,+33%,32.5314262816345
Luke Shaw,D,2,€9.0M,€6.9M,+30%,30.461525292164282
Vitaliy Mykolenko,D,3,€3.5M,€2.9M,+24%,24.013670821124535
Rico Henry,D,2,€2.1M,€1.7M,+24%,23.667161692675563
Marc Cucurella,D,2,€6.8M,€5.2M,+21%,20.819392734500024
Michael Keane,D,2,€4.9M,€4.0M,+20%,20.342875149619744
Ben White,D,4,€6.7M,€5.7M,+18%,18.29164410665087
Joao Cancelo,D,2,€10.0M,€8.2M,+17%,17.10524311005709
Antonee Robinson,D,3,€2.5M,€2.2M,+13%,13.44941101413121
Ben Mee,D,2,€3.3M,€3.0M,+11%,11.37246102571994
James Tarkowski,D,5,€4.9M,€4.4M,+11%,11.233615274757103
Trent Alexander-Arnold,D,4,€8.8M,€7.7M,+10%,10.408414184062927
Aaron Wan-Bissaka,D,2,€5.5M,€5.2M,+9%,8.584689484151452
Andy Robertson,D,4,€8.2M,€8.1M,+2%,2.0455462594090754
Nathan Collins,D,2,€1.8M,€1.9M,+1%,1.1150647342742293
Jan Paul van Hecke,D,2,€3.1M,€3.2M,-4%,-3.9438496455419747
Lewis Dunk,D,4,€4.6M,€4.9M,-5%,-4.670432750925177
Wout Faes,D,2,€3.0M,€3.2M,-6%,-6.150048253385748
Ola Aina,D,2,€1.9M,€2.1M,-7%,-7.490090246740744
Joel Ward,D,3,€2.1M,€2.3M,-9%,-8.810137398166317
Emerson,D,2,€4.1M,€5.1M,-9%,-9.026089339930333
Max Kilman,D,4,€2.7M,€2.7M,-11%,-10.806322923240515
Pervis Estupiñán,D,2,€3.0M,€3.4M,-12%,-12.058918334677498
Diogo Dalot,D,2,€5.2M,€6.2M,-16%,-15.889839319489202
Ezri Konsa,D,5,€2.9M,€3.4M,-16%,-15.999659323050668
Dara O'Shea,D,2,€1.7M,€2.0M,-17%,-16.815182968171726
Charlie Taylor,D,3,€1.6M,€2.0M,-19%,-19.068331599187033
Pedro Porro,D,2,€5.2M,€6.7M,-22%,-22.128215783095317
Eric Dier,D,3,€5.1M,€6.8M,-24%,-23.59918204784722
Jarrad Branthwaite,D,2,€2.1M,€2.9M,-26%,-25.88259199826519
Gabriel Magalhães,D,4,€5.3M,€7.3M,-27%,-27.45572455790432
Dan Burn,D,4,€3.3M,€4.6M,-29%,-29.097825452229483
Stuart Dallas,D,2,€1.8M,€2.7M,-29%,-29.48253877836303
